oid,ra,dec,Main identifier,Parrallax,Radial velocity,pmra,pmdec
674655,57.01230937826,25.342136432700002,"BD+24   570",4.845,-25.19,-14.373,-32.82
660979,55.400687367470006,25.619324378709997,"BD+25   591",7.2604,4.02094,17.453,-43.164
660861,55.77738641121,25.68500801398,"BD+25   593B",14.426,-55.24,-41.739,-13.494
660864,55.84410085146,25.651675572229998,"BD+25   596",3.2426,47.31,20.132,-19.161
674135,56.28093539125,25.554325379309997,"BD+25   604",8.4556,63.47,69.493,-0.164
674140,56.4380182404,25.59579408704,"BD+25   610",6.3982,-0.675093,19.703,-43.026
6347721,55.70235099809,22.543959813299995,"CRTS J034248.5+223237",0.4912,35.03,2.785,-0.591
6347951,57.37906028046,22.45751238387,"CRTS J034931.0+222725",1.1019,-32.0,-6.638,-3.032
6347955,57.39075222598,25.81759454998,"CRTS J034933.7+254902",0.7418,-35.46,0.07,-5.173
6348046,57.968641726579996,23.093189925600004,"CRTS J035152.5+230535",0.6943,53.35,3.693,-1.312
6348077,58.21964820501,25.3070416548,"CRTS J035252.8+251823",1.5907,-67.26,-13.839,-14.606
675533,56.60099999999999,24.114,"Cl Melotte   22",7.364,5.88,19.997,-45.548
5493149,55.66283746253,24.126366593269996,"Cl Melotte   22     1",1.6805,-26.69,-4.693,-8.991
5493150,55.68500019621,24.94894263317,"Cl Melotte   22     2",3.7943,-9.86,-17.357,-10.173
3717543,55.68016481681,24.224305777910004,"Cl Melotte   22     3",0.4076,-14.52,0.254,-4.066
661315,55.72902298539,24.681609709450004,"Cl Melotte   22    24",0.3358,-32.44,0.23,-3.361
660889,55.75375020215,24.544887749820003,"Cl Melotte   22    28",4.7937,8.65,2.812,-10.622
661915,55.79225222319,23.80018929708,"Cl Melotte   22    53",0.1515,7.56,0.555,-2.209
661317,55.82953863139001,24.2531085802,"Cl Melotte   22    78",0.3857,1.43,-1.033,-5.792
660984,55.83001270469,23.859580588310003,"Cl Melotte   22    81",2.268,32.49,13.442,-47.123
661952,55.832172139680004,23.84922460253,"Cl Melotte   22    83",2.2328,23.45,13.211,-48.035
661917,55.852245657110416,23.22592696067972,"Cl Melotte   22   102",7.1802,7.319,20.848,-41.444
660867,55.951719842068755,25.190068470540556,"Cl Melotte   22   173",7.4961,7.41933,20.274,-46.576
3709055,55.94943184443,24.03912344831,"Cl Melotte   22   180",2.8937,-36.66,-7.466,-13.346
661861,55.94797065959,23.21156859429,"Cl Melotte   22   186",,5.86,20.8,-40.5
6211983,55.961261334739994,24.247491823369998,"Cl Melotte   22   193",7.4804,6.33239,21.608,-44.803
