HIP,Sn,So,Nc,RArad,e_RArad,DErad,e_DErad,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Ntr,F2,F1,var,Hpmag,e_Hpmag,sHp,VA,B-V,e_B-V,V-I,hip2_oid,ic,UW,Testing
18692,5,0,1,1.048406312,0.74,0.2496859243,0.32,10.13,0.83,54.77,0.79,-19.37,0.7,112,-1.14,0,0.0,8.3841,0.0013,0.009,0,0.487,0.011,0.56,18644,0,"1.41,-0.93,3.26,-0.38,-0.41,1.15,-0.07,0.00,-0.09,1.24,0.06,-0.60,0.41,-0.46,1.31",false
18718,5,0,1,1.0498900277,0.62,0.2424653509,0.3,6.2,0.69,20.04,0.7,-13.98,0.58,110,0.05,0,0.0,7.4502,0.001,0.009,0,1.42,0.02,1.4,18670,0,"1.78,-1.02,3.72,-0.36,-0.57,1.49,-0.13,0.08,-0.09,1.45,0.24,-0.61,0.45,-0.22,1.72",false
18730,5,0,1,1.0504383406,0.63,0.2700964259,0.39,7.89,0.7,-37.53,0.91,-42.45,0.68,105,0.64,0,0.0,7.8064,0.0016,0.011,0,0.97,0.02,0.95,18682,0,"1.69,-0.48,2.75,-0.17,0.20,1.53,-0.05,0.01,-0.02,1.15,0.03,-0.18,0.42,-0.12,1.54",false
18754,5,0,1,1.0516708911,1.48,0.288350362,0.68,5.79,1.59,8.03,1.86,-35.85,1.3,98,1.82,1,0.0,10.0837,0.0025,0.016,0,0.565,0.048,0.64,18706,0,"0.83,-0.20,1.69,-0.24,0.11,0.74,0.16,0.02,-0.01,0.61,0.01,-0.01,0.24,-0.10,0.87",false
18806,5,0,1,1.0549251086,0.71,0.2415108094,0.34,11.37,0.73,-4.36,0.78,-90.54,0.6,99,-0.12,0,0.0,8.402,0.0011,0.009,0,0.543,0.015,0.62,18758,0,"1.49,-0.41,3.07,-0.43,-0.20,1.36,0.15,0.02,0.00,1.28,-0.01,-0.47,0.12,-0.23,1.65",false
18843,5,0,1,1.0578348113,1.6,0.2641361278,0.81,16.8,1.76,14.18,1.94,28.25,1.42,65,0.38,0,0.0,9.7022,0.0025,0.018,0,0.697,0.052,0.75,18795,0,"0.70,-0.31,1.34,-0.15,-0.12,0.60,-0.11,-0.01,0.01,0.53,0.02,-0.22,0.18,-0.02,0.73",false
18864,5,0,1,1.0587252471,1.04,0.2628844761,0.67,7.84,1.16,-2.63,1.39,-60.59,1.0,61,0.26,0,0.0,8.8705,0.0023,0.014,0,0.644,0.015,0.71,18816,0,"1.06,-0.17,1.57,-0.33,-0.15,0.92,-0.13,-0.03,0.15,0.73,-0.03,-0.26,0.21,0.01,1.02",false
18902,5,0,1,1.0607646667,1.19,0.2527841243,0.69,5.29,1.38,22.12,1.21,-15.07,0.91,46,1.54,0,0.0,8.6128,0.0013,0.01,0,0.669,0.015,0.73,18854,0,"1.20,-0.28,1.73,-0.55,0.14,0.93,0.14,0.05,0.15,0.97,0.03,0.25,0.51,-0.18,1.28",false
18927,5,0,1,1.062160294,1.22,0.2433460449,0.9,6.1,1.41,-2.17,1.4,-10.14,1.24,50,-0.81,0,0.0,9.808,0.0041,0.025,0,0.387,0.056,0.45,18879,0,"0.82,-0.29,1.05,-0.27,0.14,0.66,0.06,0.04,-0.12,0.70,0.03,0.07,0.07,-0.31,0.74",false
18998,5,0,1,1.0655952176,0.84,0.2622691806,0.55,3.09,0.93,-4.15,1.1,-22.95,0.69,56,0.62,0,0.0,8.1749,0.002,0.013,0,1.147,0.022,1.11,18950,0,"1.39,-0.38,1.98,-0.41,0.24,1.18,0.21,0.03,0.20,0.96,-0.02,0.16,0.31,0.00,1.52",false
